date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:39	23118/23118	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/index.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/index.html	(from )
02:21:39	14201/14201	---M-Z	200	added ('OK')	text/css	etag:W/%223779-p3AHUShgz5c2clsf4G7TpZSUQVs%22	https://cdn.jsdelivr.net/npm/@docsearch/css@3	C:/Users/en27553/Desktop/Neovim%20Doc/cdn.jsdelivr.net/npm/@docsearch/css@3.css	(from https://neovim.io/doc/user/index.html)
02:21:39	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%2267a6b08c-38d63%22	https://neovim.io/css/bootstrap.min.css	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/css/bootstrap.min.css	(from https://neovim.io/doc/user/index.html)
02:21:40	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2001:21:40%20GMT	https://x185e15fpg-dsn.algolia.net/	C:/Users/en27553/Desktop/Neovim%20Doc/x185e15fpg-dsn.algolia.net/index.html	(from https://neovim.io/doc/user/index.html)
02:21:40	11345/11345	---M-Z	200	added ('OK')	text/css	etag:W/%2267a6b08c-2c51%22	https://neovim.io/css/main.css	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/css/main.css	(from https://neovim.io/doc/user/index.html)
02:21:40	4411/4411	---M-Z	200	added ('OK')	text/css	etag:W/%2267b17592-113b%22	https://neovim.io/doc/user/help.css	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/help.css	(from https://neovim.io/doc/user/index.html)
02:21:40	4211/4211	---M-Z	200	added ('OK')	text/css	etag:W/%2267a6b08c-1073%22	https://neovim.io/highlight/styles/neovim.min.css	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/highlight/styles/neovim.min.css	(from https://neovim.io/doc/user/index.html)
02:21:41	45284/45284	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a6b08c-b0e4%22	https://neovim.io/highlight/highlight.min.js	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/highlight/highlight.min.js	(from https://neovim.io/doc/user/index.html)
02:21:41	20983/20983	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2001:17:00%20GMT	https://neovim.io/	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/index.html	(from https://neovim.io/doc/user/index.html)
02:21:42	742445/742445	---MCZ	200	added ('OK')	text/html	etag:W/%224c732a7a007f6d8457e8b46a0783514d%22	https://github.com/neovim/neovim/blob/master/scripts/gen_help_html.lua	C:/Users/en27553/Desktop/Neovim%20Doc/github.com/neovim/neovim/blob/master/scripts/gen_help_html.html	(from https://neovim.io/doc/user/index.html)
02:21:42	334284/334284	---MCZ	200	added ('OK')	text/html	etag:W/%229def5a6dec8ee043420143b5f5c9c453%22	https://github.com/neovim/neovim/blob/master/runtime/doc/help.txt	C:/Users/en27553/Desktop/Neovim%20Doc/github.com/neovim/neovim/blob/master/runtime/doc/help.html	(from https://neovim.io/doc/user/index.html)
02:21:43	296382/296382	---MCZ	200	added ('OK')	text/html	etag:W/%228cfd9eb120f69ff777f6db0b2b307624%22	https://github.com/neovim/tree-sitter-vimdoc	C:/Users/en27553/Desktop/Neovim%20Doc/github.com/neovim/tree-sitter-vimdoc.html	(from https://neovim.io/doc/user/index.html)
02:21:43	32348/32348	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/helphelp.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/helphelp.html	(from https://neovim.io/doc/user/index.html)
02:21:44	539129/539129	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/options.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/options.html	(from https://neovim.io/doc/user/index.html)
02:21:44	43119/43119	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/usr_02.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/usr_02.html	(from https://neovim.io/doc/user/index.html)
02:21:44	69057/69057	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/intro.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/intro.html	(from https://neovim.io/doc/user/index.html)
02:21:44	15523/15523	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/usr_01.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/usr_01.html	(from https://neovim.io/doc/user/index.html)
02:21:45	59132/59132	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/credits.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/credits.html	(from https://neovim.io/doc/user/index.html)
02:21:45	56192/56192	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/news.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/news.html	(from https://neovim.io/doc/user/index.html)
02:21:45	14449/14449	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/nvim.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/nvim.html	(from https://neovim.io/doc/user/index.html)
02:21:45	96667/96667	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/vim_diff.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/vim_diff.html	(from https://neovim.io/doc/user/index.html)
02:21:45	37419/37419	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/faq.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/faq.html	(from https://neovim.io/doc/user/index.html)
02:21:46	28245/28245	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/usr_toc.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/usr_toc.html	(from https://neovim.io/doc/user/index.html)
02:21:46	138252/138252	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/quickref.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/quickref.html	(from https://neovim.io/doc/user/index.html)
02:21:46	25315/25315	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:19%20GMT	https://neovim.io/doc/user/uganda.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/uganda.html	(from https://neovim.io/doc/user/index.html)
02:21:46	12236/12236	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/support.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/support.html	(from https://neovim.io/doc/user/index.html)
02:21:47	151612/151612	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/vimindex.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/vimindex.html	(from https://neovim.io/doc/user/index.html)
02:21:47	35751/35751	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/tips.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/tips.html	(from https://neovim.io/doc/user/index.html)
02:21:47	56317/56317	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2005:20:18%20GMT	https://neovim.io/doc/user/message.html	C:/Users/en27553/Desktop/Neovim%20Doc/neovim.io/doc/user/message.html	(from https://neovim.io/doc/user/index.html)
